variant,mode,v2_slope,v3_slope,v2_yr100BA,v3_yr100BA
AK,b2,-1.1,-1.9,348,159
AK,b1,-0.86,-1.9,525,159
BM,b2,-1.03,-2.02,151,73
BM,b1,-0.89,-2.02,184,74
CA,b2,-1.53,-1.95,133,80
CA,b1,-1.31,-1.94,188,81
CI,b2,-0.86,-1.91,84,72
CI,b1,-0.88,-1.91,110,73
CR,b2,-0.86,-1.87,86,66
CR,b1,-0.82,-1.87,97,64
CS,b2,-0.7,-1.91,314,73
CS,b1,-0.65,-1.91,394,73
EC,b2,-1.22,-1.98,147,89
EC,b1,-1.09,-1.98,191,89
EM,b2,-1.08,-1.89,97,80
EM,b1,-1.04,-1.9,114,78
IE,b2,-1.08,-1.95,187,85
IE,b1,-0.97,-1.95,230,85
LS,b2,-0.57,-1.88,325,88
LS,b1,-0.51,-1.88,398,86
NC,b2,-1.9,-2.22,170,73
NC,b1,-1.7,-2.21,225,73
NE,b2,-0.6,-1.92,382,91
NE,b1,-0.54,-1.92,476,91
PN,b2,-0.85,-1.92,300,140
PN,b1,-0.68,-1.91,376,139
SN,b2,-0.55,-1.89,410,80
SN,b1,-0.46,-1.9,554,80
SO,b2,-0.94,-1.96,109,74
SO,b1,-0.94,-1.96,144,75
TT,b2,-0.96,-1.89,81,74
TT,b1,-0.87,-1.9,91,72
UT,b2,-1.26,-1.93,97,73
UT,b1,-1.17,-1.94,105,73
WC,b2,-1.31,-2,167,155
WC,b1,-1.18,-1.99,228,155
WS,b2,-1.01,-1.98,85,91
WS,b1,-1.06,-1.97,118,92
